A,B,C
79,171,59
77,172,56
76,166,59
74,170,56
72,165,57
72,165,58
70,162,59
70,159,63
70,155,67
69,148,76
72,149,76
74,151,76
73,151,76
71,148,75
70,147,73
72,146,73
71,145,72
71,147,71
70,148,69
68,144,65
66,140,68
66,140,65
65,140,65
64,139,64
65,139,64
64,138,65
62,142,65
63,141,63
64,142,62
68,140,63
64,143,63
64,143,64
65,140,63
67,141,61
66,148,60
64,144,61
65,145,61
64,146,59
66,147,59
67,148,60
67,149,60
67,147,60
69,148,58
66,151,57
68,150,58
66,151,59
66,150,57
68,148,58
67,149,62
70,155,67
67,155,64
65,156,62
67,154,62
71,157,65
79,165,65
70,165,68
70,164,72
72,161,72
73,157,73
69,163,75
72,164,73
71,165,70
72,167,72
72,165,73
74,165,74
73,164,72
72,167,72
70,167,73
72,168,73
75,169,77
72,166,73
73,167,72
75,165,74
76,165,74
84,168,75
75,166,73
74,171,74
74,171,73
76,168,71
74,167,71
73,171,72
74,175,76
74,176,78
73,173,76
78,173,76
74,176,77
73,173,75
76,175,74
76,171,73
80,171,76
75,171,74
75,166,73
77,171,70
77,171,68
84,170,70
76,171,72
77,167,71
78,166,71
78,165,67
76,170,67
75,169,69
73,167,67
75,165,70
78,163,70
78,168,72
76,166,72
75,167,72
76,168,73
76,166,68
75,168,68
74,176,71
75,170,72
79,165,71
78,164,72
74,165,72
75,172,70
75,176,73
75,186,73
77,189,71
78,189,72
77,186,76
81,188,75
89,191,77
93,190,79
92,194,81
91,195,78
93,203,76
102,204,74
100,204,76
98,202,82
96,200,88
95,204,99
93,204,105
102,201,102
127,196,102
132,204,109
157,216,115
202,220,121
202,232,127
206,230,137
219,233,169
225,223,201
231,220,208
248,243,217
257,261,212
253,255,220
255,266,272
267,280,279
265,272,304
271,268,342
289,275,332
308,292,350
300,289,383
289,295,384
290,313,368
304,333,372
302,339,400
320,346,460
333,333,493
328,327,486
324,337,539
320,343,528
326,344,517
432,350,499
516,352,516
544,349,517
542,343,506
571,330,505
588,330,512
569,343,498
597,349,532
590,367,559
599,361,549
590,351,547
588,374,552
590,389,579
664,394,573
683,379,579
677,386,562
668,391,545
667,386,555
679,396,544
680,396,526
676,391,566
649,393,594
625,394,603
612,394,708
602,399,703
602,413,689
601,427,657
584,410,632
662,398,620
693,403,607
727,430,608
758,414,615
834,404,667
906,407,654
975,418,670
968,420,653
953,416,667
928,408,697
919,421,704
898,438,725
857,433,734
819,425,716
786,420,753
761,417,751
742,442,848
721,453,907
694,447,950
661,431,1006
628,427,1016
598,428,1023
572,427,1021
555,442,1023
531,427,1023
510,422,1023
502,421,1023
489,418,1023
470,418,1023
451,424,1023
451,433,1023
434,433,1023
437,444,1023
415,434,1023
458,430,1023
566,423,1023
619,443,1023
629,462,1023
655,464,1023
650,460,1023
640,451,1023
636,459,995
620,456,956
602,459,938
580,455,933
568,460,935
562,463,987
536,444,961
533,446,933
556,447,900
552,451,912
556,462,945
543,470,987
625,476,1023
745,465,1023
777,455,1023
876,470,1023
895,495,1023
897,486,1023
1023,490,1023
790,499,1023
790,523,1023
789,533,991
789,551,972
789,566,964
789,555,933
790,561,916
790,574,935
789,569,921
793,555,889
1023,552,871
1023,563,849
1023,561,904
1023,586,898
1023,577,871
1023,563,875
1023,557,868
1023,551,874
1023,535,906
1023,516,870
1023,506,839
1023,522,818
1023,512,801
1023,515,789
1023,529,791
1023,552,803
1023,613,823
1023,593,795
1023,578,784
1023,552,798
1023,577,787
1023,595,760
1023,598,752
1023,592,743
1021,572,761
971,554,728
923,544,714
910,544,739
946,542,804
935,526,787
951,517,755
904,510,723
924,534,718
930,523,754
920,530,777
893,520,747
869,526,716
847,572,713
817,585,701
801,568,673
943,544,669
957,542,671
1022,549,704
998,553,746
974,528,735
981,522,710
969,538,717
938,589,703
923,609,725
944,592,702
924,581,670
901,556,671
966,546,737
1000,545,731
1023,572,721
1023,562,705
1023,564,675
1007,557,659
1023,557,695
1023,536,789
1023,555,767
1023,544,772
1023,552,748
1023,562,750
789,558,845
789,548,827
789,548,834
790,564,811
789,545,776
789,529,753
789,517,722
789,523,694
790,517,678
795,530,656
1023,525,679
1023,508,653
1023,492,636
1023,471,609
1023,459,603
1023,476,607
1023,477,610
1023,462,601
1023,457,579
995,455,578
964,445,573
994,430,559
974,416,558
1003,408,541
1023,400,515
1023,399,503
1023,399,500
1023,388,488
1023,390,478
1023,378,476
1023,386,508
1023,385,549
1023,386,541
1023,372,525
1023,365,515
979,369,501
929,364,482
884,365,512
838,349,504
801,342,491
762,331,483
727,325,540
743,320,533
726,311,508
724,324,497
697,324,479
667,326,477
640,333,466
617,357,453
589,352,440
560,359,440
542,355,470
538,412,492
537,455,509
529,511,493
503,515,500
481,503,485
466,489,470
446,473,465
433,461,466
418,453,479
408,436,477
396,428,466
401,437,515
415,437,547
411,454,568
413,495,596
409,499,608
415,485,687
399,476,712
392,470,739
375,472,713
362,451,704
346,456,698
334,454,674
321,446,655
308,439,643
293,430,624
280,430,601
268,442,579
262,459,566
254,452,548
244,434,535
242,429,523
235,446,498
232,481,480
250,497,503
244,510,527
233,497,513
227,477,500
269,464,480
285,463,464
318,464,452
320,460,430
318,462,411
305,458,398
302,461,385
298,442,371
310,437,359
318,434,354
325,484,351
326,492,343
319,474,331
311,461,320
302,459,309
320,518,294
336,594,293
325,609,294
311,585,295
298,566,288
295,546,286
295,531,300
331,520,304
324,512,310
403,498,351
434,491,369
448,491,356
500,495,366
534,498,359
635,500,348
656,489,380
895,471,427
911,477,425
964,491,480
1023,521,506
1016,513,515
1023,512,556
1023,503,557
1023,502,554
1023,530,555
1023,522,563
1023,515,572
795,519,589
790,520,588
790,506,573
789,530,619
790,536,609
1023,540,586
1023,583,579
1023,615,605
1023,602,586
1023,599,569
1023,578,557
1023,568,549
1023,562,552
1007,537,569
957,516,584
917,553,621
875,559,656
833,603,640
809,616,617
774,613,590
737,610,564
706,641,557
687,636,554
679,678,554
653,673,534
621,682,522
594,688,522
562,743,534
541,742,526
514,758,505
499,722,484
486,713,477
473,709,462
454,699,451
440,704,435
422,702,440
404,674,450
389,657,445
375,643,450
363,636,445
350,616,428
339,604,420
333,584,411
335,566,405
323,584,402
320,568,389
317,566,374
327,584,360
321,584,347
317,571,340
310,545,324
305,530,312
313,522,301
310,511,287
311,503,274
310,495,268
316,480,261
338,474,271
330,468,269
333,458,262
358,462,261
344,459,259
351,447,262
367,434,274
394,433,266
402,433,270
413,449,301
417,460,314
494,450,322
533,475,332
577,482,341
622,481,343
656,506,338
760,534,355
793,526,393
808,511,424
781,501,424
794,495,431
783,499,460
797,496,496
946,480,497
965,463,485
965,469,476
968,470,533
1007,464,521
1023,447,506
1023,446,504
1023,453,496
1023,452,498
1023,452,480
1023,439,464
1023,457,456
1023,459,463
1011,470,482
970,452,484
941,446,475
902,436,474
929,435,470
949,424,483
1002,423,470
1023,445,503
1019,439,497
985,447,540
961,537,566
913,586,616
870,609,618
826,590,594
789,567,576
759,577,574
725,606,554
690,598,539
655,582,533
628,584,512
601,588,497
571,581,489
549,593,468
528,574,458
506,581,454
480,553,448
460,548,454
440,524,454
420,509,457
402,498,447
390,490,433
375,481,415
361,467,407
347,462,399
334,454,387
322,448,371
313,435,354
299,429,341
299,420,329
295,418,316
298,417,301
287,418,286
280,404,273
293,402,265
297,392,252
304,380,238
302,380,237
306,375,251
317,370,249
356,365,244
352,360,291
373,358,315
402,361,313
393,355,305
379,359,304
373,356,320
434,350,329
628,339,326
728,342,333
745,358,355
743,349,368
771,345,386
826,388,401
791,441,399
772,454,400
771,446,393
770,436,394
769,433,440
812,422,459
824,432,452
841,425,442
830,426,428
798,422,423
763,417,426
763,430,437
763,422,439
771,424,453
770,423,450
766,411,453
847,393,466
881,383,505
853,374,538
826,373,526
789,376,514
756,370,501
725,359,479
693,351,502
660,358,522
628,356,545
605,349,531
644,349,517
677,357,525
657,353,506
632,366,486
601,393,486
572,404,472
545,392,479
520,399,467
508,413,466
496,409,455
476,399,437
450,393,425
430,379,412
411,385,400
399,377,399
380,371,409
366,363,423
350,349,411
333,332,424
320,324,411
304,312,398
296,298,381
283,294,367
267,286,351
267,280,338
260,274,325
278,264,310
277,255,297
288,247,283
280,241,271
287,238,258
277,233,247
292,224,238
354,217,251
426,218,247
421,221,241
406,214,239
408,215,247
408,211,243
398,204,253
404,198,328
438,208,355
429,218,363
474,215,361
517,211,404
551,215,392
547,211,384
544,211,466
585,213,501
650,226,529
690,238,515
737,232,513
715,233,544
776,238,525
857,252,507
918,294,490
920,306,488
895,315,523
856,322,545
835,319,538
869,322,533
948,315,523
960,319,506
959,316,532
971,313,588
932,306,588
913,301,568
874,292,550
857,274,530
821,273,513
781,265,505
747,262,528
713,255,564
682,254,578
662,253,561
642,244,548
611,245,545
594,257,529
569,269,517
603,288,525
624,285,510
624,274,489
621,264,471
600,284,455
570,291,461
544,302,444
515,300,430
499,299,449
478,330,448
457,331,443
445,328,428
421,318,417
404,311,406
384,298,405
366,292,389
351,283,396
335,270,385
321,261,381
307,253,382
294,243,385
290,238,406
280,231,395
268,223,387
259,213,367
253,204,355
243,204,338
257,199,323
317,197,308
373,198,294
397,188,284
392,184,274
383,185,260
369,188,252
379,185,258
435,183,268
434,178,266
451,178,298
453,179,312
456,179,326
474,176,328
473,188,337
457,188,350
578,192,357
648,192,376
691,189,405
727,201,409
798,203,462
875,205,457
883,201,494
846,195,493
960,209,471
1023,213,462
1023,213,466
1023,211,457
1023,216,452
1023,219,429
1023,211,409
1023,207,402
1017,207,421
972,201,471
968,199,476
947,195,512
914,195,525
892,192,529
872,183,529
874,192,520
846,194,508
846,191,502
847,196,514
880,203,497
864,205,490
824,209,480
787,207,457
751,217,449
740,220,436
709,224,427
675,232,420
641,224,418
609,222,402
581,216,420
551,213,417
528,205,427
502,211,426
480,214,455
460,217,463
438,220,475
420,231,484
404,238,514
384,230,507
367,228,502
351,235,489
335,242,484
322,245,468
307,248,451
293,241,444
280,235,423
276,228,414
274,229,413
272,223,387
277,221,370
270,213,357
278,207,342
301,205,325
287,193,317
284,189,308
272,181,294
281,176,283
291,174,298
307,170,300
345,172,293
357,172,287
369,167,283
366,164,317
358,161,333
421,167,358
452,167,357
465,167,350
447,164,363
514,170,364
570,178,357
586,186,351
581,184,358
742,204,464
799,211,521
803,214,556
788,216,559
928,227,557
1023,246,548
1023,248,548
1003,241,623
986,237,621
1003,243,615
996,233,600
956,230,629
1020,239,617
1023,239,623
1023,233,631
1023,239,640
1023,243,633
1023,238,624
1023,245,597
1023,244,590
1023,241,609
1023,240,632
1023,239,631
1023,249,694
1023,264,704
1023,254,676
1023,255,657
1023,251,632
1007,242,610
975,242,587
934,251,584
901,264,573
856,275,585
815,292,571
783,283,590
747,276,622
719,277,615
684,266,596
658,270,593
633,287,595
603,288,593
577,318,587
554,315,564
529,320,550
515,320,555
492,322,535
469,317,523
453,316,515
433,316,538
411,321,541
397,315,547
380,322,528
364,309,541
348,301,532
334,290,530
319,277,508
307,270,481
306,258,479
296,250,471
284,239,455
308,229,437
356,226,425
405,231,420
399,221,408
395,220,410
382,211,411
400,212,400
517,214,421
587,214,433
596,213,410
588,211,427
597,205,439
599,201,437
601,201,496
662,209,542
747,207,556
779,215,576
810,207,591
793,207,579
797,208,586
815,200,584
789,209,580
791,212,579
780,210,565
773,210,564
750,214,577
795,219,570
841,232,552
854,227,545
824,220,565
803,220,591
792,221,590
773,218,571
766,215,586
755,215,571
755,207,561
761,203,603
762,200,610
755,204,592
736,195,582
720,201,591
699,202,587
676,207,574
695,209,597
728,212,587
718,221,572
778,225,571
773,236,551
791,229,531
871,230,597
877,225,612
850,229,593
809,243,584
797,261,562
796,287,551
788,287,548
751,277,532
718,272,521
683,285,556
652,293,539
623,303,568
593,307,570
567,316,570
551,305,553
529,307,535
504,332,542
479,330,567
458,322,574
437,317,556
417,314,535
397,328,544
378,312,540
361,306,519
345,316,530
332,306,530
318,300,534
303,289,517
293,294,496
281,285,481
277,277,467
276,266,449
286,262,433
300,252,421
318,246,401
365,255,389
370,248,372
360,240,365
352,237,355
371,232,360
470,233,353
547,246,349
564,246,345
555,239,343
580,231,379
585,234,378
591,238,375
601,239,368
680,238,366
686,241,355
695,238,362
752,236,388
875,243,405
841,235,417
828,225,475
853,226,479
903,228,494
957,233,511
984,248,521
957,238,539
924,233,547
975,223,541
937,218,530
952,216,558
947,213,540
1023,207,551
1023,209,551
1023,210,554
1023,205,557
1023,210,579
1023,204,604
1023,203,594
1023,210,583
1023,213,564
1023,210,559
1023,215,544
1023,218,524
1023,222,623
1023,226,651
1023,220,655
1023,218,631
1023,231,604
1023,233,592
1023,226,601
1023,222,591
1023,218,591
1023,218,577
1023,219,585
1007,217,573
1018,218,553
1023,219,543
999,216,526
964,214,507
923,208,498
876,204,487
833,200,496
792,198,513
751,197,522
715,211,528
680,226,543
649,236,537
617,254,520
589,281,495
559,281,479
538,293,462
520,295,459
498,316,441
475,314,448
453,302,448
432,301,450
419,297,443
396,290,435
378,282,427
371,279,444
349,274,452
352,272,439
343,269,431
366,264,412
377,260,399
403,264,382
398,265,371
379,258,365
377,259,357
362,265,344
354,277,335
342,276,327
329,277,316
321,265,310
329,265,300
337,258,322
354,258,338
364,262,331
359,262,327
367,263,427
377,260,483
373,262,528
424,259,524
451,272,505
463,269,493
494,275,565
494,269,574
502,264,570
714,270,586
828,284,695
858,295,690
894,310,687
854,307,666
858,310,639
837,311,620
805,298,632
807,289,621
828,280,596
828,273,609
853,277,617
823,268,679
845,260,694
919,254,678
1013,272,744
981,265,732
1023,256,729
1023,258,719
1014,257,696
1023,247,690
1021,248,729
1023,248,747
1023,250,749
1023,247,749
1010,243,759
980,250,732
945,250,735
902,239,747
870,229,735
827,222,716
788,213,713
746,209,701
705,206,687
677,201,675
642,198,668
611,198,640
588,203,669
567,202,638
544,209,641
520,213,633
495,216,618
472,228,597
451,231,578
431,234,572
415,226,561
404,222,552
382,222,550
363,220,532
346,219,520
337,211,506
328,207,513
320,203,523
312,201,516
310,201,499
296,193,480
283,189,476
272,182,466
266,178,457
262,171,465
266,167,458
270,168,449
272,162,433
266,159,419
271,155,407
272,150,395
296,146,384
342,146,398
373,142,407
423,148,431
426,150,425
420,145,423
452,147,442
444,145,512
425,141,509
442,142,639
463,141,656
456,144,705
570,160,738
696,158,725
828,169,728
1023,199,720
1023,200,775
1023,214,775
1023,239,787
1023,238,765
789,253,734
1023,254,706
790,254,680
789,253,681
1023,251,682
789,246,727
789,244,724
1023,251,753
1023,244,733
1023,238,726
1023,232,722
1023,236,717
1023,234,712
1023,252,699
1023,267,692
1023,268,743
1023,260,735
1023,254,737
1023,262,730
789,282,715
1023,275,697
1023,270,692
1023,264,692
1023,270,740
1023,264,783
1023,259,756
1023,254,729
1023,245,713
1023,249,685
1023,260,655
1023,252,658
1023,247,662
1023,241,692
1023,254,673
1023,252,643
1023,259,623
987,257,631
943,247,613
895,238,594
854,232,577
812,235,574
775,233,588
738,227,575
703,229,561
674,223,545
643,225,521
619,217,507
591,216,505
563,217,516
576,238,526
588,234,509
565,233,487
540,228,487
521,227,465
498,219,461
478,213,462
464,202,459
452,202,446
437,197,442
415,190,457
396,185,436
379,177,428
362,170,434
349,161,446
335,160,430
321,153,428
307,148,416
321,145,403
321,145,390
329,139,383
337,136,372
411,144,357
415,146,372
451,150,397
485,146,415
544,156,407
562,152,426
594,154,424
641,153,432
670,155,414
681,163,417
668,165,509
657,169,513
658,184,521
652,184,537
717,195,540
778,200,518
807,211,502
809,210,553
814,212,637
809,207,660
936,217,700
957,230,693
1023,263,676
1023,265,651
1023,256,635
1023,271,630
1023,269,615
1023,274,632
1023,271,626
1023,275,617
1023,270,645
1023,282,633
789,285,612
1023,279,651
1023,277,657
1023,274,702
1023,270,754
1023,263,801
1023,263,805
1023,274,817
1023,265,848
1023,283,836
1023,276,807
1023,307,803
789,323,800
789,330,770
789,318,754
789,305,735
792,305,729
1023,295,714
1023,300,702
1023,315,700
1023,323,700
1023,321,696
1023,321,699
1023,325,673
987,330,647
939,319,628
894,316,635
850,305,642
807,296,628
771,302,604
731,301,590
699,302,571
666,308,547
637,318,524
616,339,516
601,338,501
623,339,483
610,326,468
607,313,460
591,301,453
568,296,447
541,285,435
519,277,435
495,264,421
476,251,413
455,246,404
448,236,394
426,227,379
407,219,377
389,212,369
372,204,354
361,195,341
349,192,329
336,189,345
362,189,355
363,183,348
372,184,334
410,180,325
400,173,336
396,168,330
391,164,327
449,163,329
490,168,356
497,167,353
566,171,338
662,187,382
684,185,415
657,185,443
722,200,459
792,208,470
779,200,468
964,215,463
1015,216,460
1023,231,454
1023,241,470
1023,237,477
1023,233,475
1023,240,461
1023,239,444
1023,236,446
1023,236,439
1023,230,432
1023,230,445
1023,244,463
1023,237,461
1023,238,472
998,255,477
952,256,484
925,267,520
895,264,565
877,272,565
1023,306,546
1023,312,525
1023,305,500
1023,297,490
1023,294,512
1023,310,493
1023,300,478
1023,287,454
1023,283,438
1023,272,426
993,278,406
945,278,429
900,278,424
856,284,423
817,285,431
775,274,437
737,273,444
700,267,431
666,262,430
634,251,427
602,252,414
573,269,400
545,265,389
517,269,388
493,260,381
470,266,370
448,267,356
431,268,344
414,265,334
393,260,323
377,254,310
360,247,295
350,247,281
363,255,271
366,249,258
361,242,246
371,231,234
385,229,226
390,223,219
387,216,211
389,211,196
410,205,194
404,201,186
392,204,179
419,201,175
437,194,169
417,190,164
412,182,163
425,182,168
427,176,172
424,175,212
457,172,227
458,169,243
447,167,239
509,171,255
526,166,244
539,167,245
574,169,276
565,169,304
544,173,301
549,175,297
540,182,289
527,175,295
539,181,288
541,178,288
535,189,294
575,193,329
583,185,337
578,188,354
609,189,359
615,183,360
631,181,369
613,179,377
627,174,451
624,171,490
633,170,508
629,177,496
638,175,495
637,173,489
699,185,480
711,181,479
744,185,465
733,184,520
708,186,541
707,179,579
678,178,559
673,185,540
661,182,531
664,186,600
695,200,641
713,194,650
708,191,644
677,182,624
652,181,596
709,191,609
805,202,602
894,211,573
867,206,553
837,206,529
800,210,507
770,210,488
740,208,486
704,200,478
670,204,513
639,204,503
608,204,490
587,217,491
579,248,507
555,271,493
536,279,475
514,315,464
495,324,460
470,330,445
450,329,436
427,341,418
408,335,399
389,329,399
374,341,410
354,347,409
337,355,428
323,347,421
309,335,413
295,324,408
282,316,409
271,301,398
263,292,389
252,287,385
240,280,369
247,270,351
244,258,336
234,250,319
243,241,304
272,239,291
279,237,277
278,226,264
324,215,255
333,210,244
360,205,241
436,199,254
520,208,264
536,211,286
517,207,329
493,206,340
475,209,344
482,204,388
505,203,391
551,208,388
552,210,384
676,208,406
666,201,398
689,207,395
762,232,407
774,227,423
807,248,445
830,277,433
900,273,447
901,270,462
879,262,447
843,271,427
807,264,426
772,262,451
736,265,470
701,257,488
668,247,471
635,244,473
634,243,473
618,247,473
735,249,495
786,243,484
791,248,481
833,289,490
811,302,499
807,313,503
794,303,497
845,305,502
845,298,485
830,303,471
797,296,485
757,295,530
730,304,562
690,301,547
658,292,576
639,286,596
611,278,596
593,287,574
567,283,572
542,275,562
522,264,540
500,266,541
477,272,525
454,267,505
432,262,484
417,254,474
400,248,458
382,243,440
364,252,427
349,251,417
333,249,407
325,248,392
304,266,388
293,277,389
282,275,373
280,267,371
268,276,366
258,266,353
266,263,354
267,259,338
258,247,322
248,249,309
241,241,297
250,240,286
269,231,274
270,229,263
265,220,255
264,213,249
272,205,242
270,206,233
276,197,228
267,194,225
257,186,221
247,184,226
261,181,233
296,177,238
286,173,233
290,169,231
306,170,225
311,166,221
311,164,253
308,160,268
315,181,283
319,187,283
316,186,297
356,187,374
364,197,424
359,199,434
372,206,431
376,202,438
426,213,441
447,208,438
465,205,446
473,209,428
537,212,423
590,219,411
559,218,422
559,216,508
574,217,531
612,220,523
620,219,536
606,232,555
588,239,572
590,241,557
794,244,574
853,244,573
887,232,572
865,229,563
854,222,552
832,218,530
806,220,540
798,222,533
865,229,533
879,225,558
876,221,569
901,239,577
879,247,575
840,249,564
809,241,546
780,237,564
782,242,636
764,234,643
738,233,667
706,231,654
679,233,650
725,256,665
