A,B,C
66,92,50
66,94,49
67,91,50
64,94,48
63,98,47
62,101,46
61,98,45
65,98,52
59,100,48
64,99,47
63,104,45
63,103,46
61,113,46
61,104,48
62,104,47
63,103,48
62,101,52
62,100,52
61,104,51
62,103,50
63,98,49
61,99,48
62,98,47
61,98,50
62,97,54
61,97,53
61,101,51
60,104,50
61,105,48
58,107,48
59,107,48
61,104,47
68,107,47
63,102,47
62,101,45
59,101,44
59,98,42
61,99,43
59,97,43
58,92,42
57,92,41
58,88,42
56,88,42
56,86,43
57,86,42
56,82,42
55,84,42
54,86,49
56,85,45
57,86,39
58,85,43
57,86,43
57,86,48
57,87,48
56,85,54
58,87,53
57,91,52
58,91,50
57,91,50
60,89,48
62,89,50
61,93,51
61,97,49
57,97,49
64,101,50
66,108,51
68,115,51
69,117,51
77,118,51
73,114,51
74,113,52
76,117,51
77,112,53
76,111,54
78,102,56
77,104,56
75,104,56
77,106,54
80,102,55
79,98,55
78,100,53
77,102,52
76,104,51
77,106,51
74,112,51
74,109,53
79,105,60
84,101,60
88,102,61
89,108,60
87,106,61
86,103,60
83,103,59
83,104,59
80,107,56
80,105,54
80,105,50
79,106,53
80,102,54
78,102,53
77,107,52
75,103,52
74,100,51
74,106,53
74,108,51
75,110,53
80,111,51
82,111,52
82,112,52
81,117,51
81,116,51
81,114,52
80,111,51
78,109,51
80,106,51
80,105,51
80,108,52
80,106,51
82,107,50
82,103,55
78,104,51
79,103,51
77,97,51
79,97,51
78,94,52
79,91,52
77,89,50
75,90,50
76,89,51
77,90,52
78,89,53
79,89,49
80,88,51
79,90,52
78,88,54
80,86,55
80,87,55
76,84,55
79,85,55
78,83,56
78,82,56
77,82,55
78,82,54
87,83,54
78,82,57
78,82,58
74,81,58
78,80,59
82,79,64
80,79,62
78,84,61
80,80,61
83,87,61
87,89,62
88,91,62
86,91,63
83,91,64
84,88,66
87,86,71
88,86,68
84,85,68
82,84,69
80,84,65
82,86,70
81,86,70
81,86,67
78,86,66
79,85,64
80,86,65
76,85,65
79,86,62
79,85,61
82,83,62
84,87,62
84,90,62
83,91,60
77,93,54
80,90,58
80,87,58
81,91,56
78,92,54
78,92,54
76,94,54
75,91,55
75,92,57
75,92,55
80,101,54
79,98,55
80,101,53
82,105,52
80,99,51
80,98,52
79,96,53
78,98,52
77,99,54
75,102,56
75,104,55
74,104,54
71,105,51
72,110,50
71,106,50
70,101,51
69,99,50
68,103,49
68,103,48
71,104,47
72,105,45
70,100,44
69,99,43
68,98,44
71,98,43
71,98,41
70,98,41
70,99,40
79,98,39
71,99,39
70,102,38
70,102,37
72,109,36
77,108,36
76,107,36
75,103,36
74,101,40
76,104,37
77,104,36
75,100,37
72,100,36
71,97,37
70,101,38
71,95,39
68,93,37
68,92,37
66,90,35
70,89,36
75,95,37
71,92,34
70,89,35
68,92,35
67,86,35
66,90,35
64,87,35
64,87,34
58,88,33
63,88,33
68,91,37
62,93,33
61,88,32
63,87,31
62,89,31
61,87,31
62,90,30
61,91,30
61,91,30
59,92,29
59,91,29
59,95,32
61,97,30
61,97,28
60,94,27
60,99,27
64,103,26
69,101,27
72,98,28
70,100,25
70,97,27
70,97,28
68,99,28
67,100,30
64,100,33
67,99,32
65,99,32
66,102,32
65,101,31
63,101,31
64,101,29
64,103,29
64,104,31
63,101,30
61,103,28
61,101,27
62,104,29
64,101,28
61,96,28
61,98,27
62,97,27
66,95,28
61,94,28
61,96,24
61,94,27
62,97,24
62,100,27
61,100,25
62,97,27
64,95,28
64,94,34
64,97,34
64,95,35
67,93,35
67,92,39
68,97,40
69,101,42
70,99,41
73,101,43
75,101,43
79,105,42
92,119,47
101,128,49
107,129,52
109,129,56
113,124,56
106,134,57
106,145,57
103,146,58
104,144,57
101,137,57
103,136,55
101,130,55
98,134,53
95,140,50
94,148,49
92,145,50
89,148,48
89,146,47
88,144,46
87,136,46
89,138,45
88,136,46
86,136,45
84,131,48
81,133,49
80,133,49
78,131,49
77,136,51
77,133,52
74,134,48
75,134,56
74,133,61
73,128,65
73,124,66
73,129,65
73,128,64
80,124,63
80,130,63
78,130,61
77,130,59
80,130,58
78,126,57
78,121,56
78,120,59
77,119,61
83,119,63
85,116,62
82,123,62
80,128,59
81,125,56
78,128,56
78,126,56
78,122,57
84,128,56
82,128,57
81,129,56
79,128,53
78,124,53
79,126,57
78,128,56
77,122,57
76,120,57
73,118,56
73,119,54
74,113,55
73,114,54
71,115,54
71,114,54
68,110,54
69,112,54
73,113,55
72,112,52
77,119,50
76,119,50
77,121,52
74,118,48
72,121,47
71,124,44
69,122,45
76,131,42
69,122,44
68,125,42
66,127,41
66,126,41
62,126,40
65,121,40
64,122,41
64,118,41
64,121,39
61,121,40
59,121,40
61,120,42
61,119,45
61,118,44
65,120,43
60,120,43
60,121,41
59,120,40
60,117,40
62,124,39
62,119,40
63,120,40
62,123,34
66,121,38
67,127,38
65,124,37
64,124,36
65,121,35
63,114,34
66,115,36
64,119,34
64,121,33
61,123,32
61,117,33
66,116,35
61,114,32
61,112,31
60,111,30
61,111,33
71,110,33
60,111,35
61,109,35
62,110,34
63,106,34
62,107,35
63,103,33
62,105,33
63,105,32
61,106,32
61,106,32
59,107,32
59,113,30
59,114,31
59,112,29
59,117,30
57,112,29
59,110,29
59,108,29
58,111,28
60,114,29
57,113,29
57,111,29
57,116,29
56,115,28
56,117,29
57,122,29
56,116,29
55,114,30
55,112,29
56,113,30
56,113,29
54,113,31
54,117,35
55,113,35
57,113,35
56,111,35
54,108,34
55,106,33
56,105,35
58,105,38
53,102,37
56,103,40
56,105,38
55,109,39
55,109,39
55,112,37
55,109,36
53,111,39
54,110,41
55,110,41
52,106,40
54,106,39
53,102,37
54,103,37
54,108,37
55,109,36
55,110,37
54,109,38
53,107,37
53,109,36
55,107,36
55,104,36
55,105,34
53,104,33
55,104,32
54,100,32
54,96,33
54,97,31
54,97,30
54,101,31
53,98,30
54,98,30
54,98,30
55,98,28
56,99,30
55,100,29
55,107,28
55,109,29
53,112,28
55,112,29
55,111,28
55,106,28
58,104,27
58,104,26
59,105,29
61,106,28
60,108,27
60,106,26
51,103,26
58,103,27
57,102,26
57,98,26
57,103,26
57,101,25
57,103,26
56,99,26
57,100,26
56,94,29
54,96,29
58,100,31
57,96,30
56,95,29
56,92,29
55,91,30
57,92,31
57,91,31
56,92,32
58,92,31
55,97,30
55,97,31
55,99,30
54,102,30
54,100,29
55,99,28
57,105,30
57,101,27
55,98,28
56,99,28
56,96,27
60,96,28
57,94,28
56,95,27
57,93,26
56,93,26
57,95,27
57,95,27
55,91,28
55,96,26
54,98,25
61,101,30
54,100,30
55,98,32
55,94,31
53,94,31
57,96,32
54,101,30
58,98,30
59,100,28
60,100,27
62,99,31
57,102,31
57,102,29
57,104,30
55,102,29
58,104,35
55,106,33
56,104,34
57,99,36
56,100,35
62,99,35
56,98,41
56,97,34
57,96,33
61,96,33
60,95,35
58,97,33
55,95,32
56,92,32
55,92,29
59,89,32
59,90,32
60,87,32
63,88,31
60,89,30
59,92,30
58,92,30
59,92,30
58,96,29
58,97,28
57,96,28
60,96,30
59,95,29
58,92,28
58,94,29
58,94,30
60,92,31
60,93,23
59,92,29
59,93,29
60,92,28
62,91,30
60,93,29
59,93,29
59,92,28
59,94,30
62,102,34
61,97,35
64,95,36
66,92,34
66,97,38
75,103,40
73,105,39
77,108,40
78,110,38
77,111,38
79,115,43
79,120,43
90,124,41
98,150,39
103,172,41
116,170,43
111,180,54
110,177,58
114,173,62
120,181,60
119,185,60
117,182,58
125,179,57
141,178,54
145,168,57
150,171,70
154,169,72
154,176,75
225,172,80
248,185,84
239,194,83
245,215,83
237,220,85
241,224,90
247,234,97
240,236,98
234,251,100
226,261,106
217,263,105
213,265,105
202,270,101
197,269,98
189,264,95
181,256,97
177,249,96
172,246,92
167,251,94
160,245,87
169,248,84
166,251,87
171,243,90
168,244,92
162,241,91
161,238,88
156,229,87
152,224,86
149,223,83
146,224,81
145,218,80
138,232,78
142,243,77
158,245,75
162,246,72
164,249,71
157,242,70
151,233,66
146,230,65
146,223,63
150,219,66
152,218,72
149,217,70
148,220,67
145,218,66
141,215,66
138,209,65
133,203,65
129,197,61
125,194,61
122,191,60
119,183,60
116,179,59
113,174,60
110,180,61
112,175,62
128,176,62
134,173,61
137,186,63
132,190,62
132,190,62
130,193,60
132,188,61
131,182,60
142,177,59
130,177,59
126,177,56
123,171,53
118,172,51
129,169,50
117,170,50
114,165,49
112,162,48
113,158,47
117,159,48
113,158,46
110,158,44
107,158,45
106,154,44
104,159,44
110,158,43
111,152,42
113,157,42
114,158,44
113,156,45
107,153,48
113,150,49
110,153,47
107,150,48
106,145,45
109,155,43
111,160,43
115,163,42
123,172,45
117,173,41
113,165,41
109,172,40
106,191,32
110,195,39
113,194,38
118,187,38
121,186,36
120,179,36
132,188,37
129,185,35
129,183,39
128,191,44
135,186,44
132,184,46
128,178,43
124,184,43
119,182,43
119,192,42
117,188,41
113,186,40
109,177,39
105,173,39
108,169,37
108,173,37
110,174,42
107,168,39
104,165,37
107,158,39
106,155,40
101,151,40
106,151,38
106,154,36
106,158,37
105,163,35
105,163,36
101,160,35
102,154,34
110,159,37
108,153,37
108,157,36
105,160,36
108,165,36
107,162,35
103,156,35
102,157,34
102,153,33
100,147,32
100,147,34
101,152,33
99,148,31
97,140,33
99,146,36
100,144,37
96,143,36
93,148,36
92,148,37
89,148,38
92,148,37
85,146,39
83,140,41
82,142,39
80,137,39
80,136,38
77,137,39
77,135,37
74,135,35
78,134,34
80,144,34
78,142,34
78,142,34
78,141,32
77,147,39
75,158,32
75,173,31
74,175,32
75,171,30
81,172,30
70,168,31
70,167,30
69,164,29
73,157,29
72,158,28
73,156,28
73,154,27
74,158,14
74,161,26
76,164,28
74,164,27
76,160,25
75,153,29
74,153,28
77,145,31
74,147,27
76,143,28
75,142,28
74,141,27
82,142,28
73,141,30
73,134,31
73,132,30
71,133,31
72,139,30
74,137,30
69,140,30
70,138,29
69,141,30
71,141,32
71,145,32
70,148,31
69,146,30
70,144,32
75,143,36
68,140,31
69,140,31
66,134,31
66,133,33
80,137,34
69,134,36
70,134,34
68,133,35
68,129,34
69,128,34
68,134,33
67,136,32
65,139,33
64,133,35
65,138,37
63,135,34
66,135,35
64,130,36
63,125,37
68,123,43
62,122,37
62,123,36
61,122,38
59,122,40
69,124,41
58,121,40
58,123,40
59,121,39
58,119,38
57,117,38
56,119,38
55,123,39
54,125,37
54,125,37
55,126,37
53,128,38
53,121,38
54,120,37
53,118,37
53,117,30
51,114,37
51,110,37
53,108,36
54,106,35
55,109,35
53,107,36
54,105,37
55,102,36
54,103,36
55,102,37
53,105,38
54,106,37
54,104,37
54,105,38
57,106,47
55,109,38
54,106,41
54,112,40
56,114,39
58,112,39
56,111,38
56,110,37
51,107,36
55,103,35
55,111,37
54,116,35
55,117,34
53,119,34
52,116,35
54,117,34
53,117,35
54,125,34
54,117,33
53,114,28
53,112,31
53,110,33
53,112,34
54,117,35
54,117,34
54,115,34
53,118,33
53,123,32
54,128,32
53,128,32
53,124,37
56,128,31
55,132,30
55,131,30
53,132,30
54,132,29
53,129,30
53,128,34
54,133,30
55,136,29
61,139,29
62,139,29
69,139,28
69,141,28
68,136,28
66,132,30
65,133,35
64,130,36
62,132,34
63,131,33
62,126,33
62,130,33
61,126,32
60,128,30
60,132,30
62,131,31
59,131,32
58,130,31
56,125,30
57,123,31
62,127,30
56,125,29
55,128,29
56,124,30
56,128,30
57,125,29
55,122,29
54,126,26
54,128,27
61,135,29
56,134,28
58,136,28
55,133,27
54,131,25
54,134,27
54,131,27
53,137,26
52,139,28
52,135,32
53,134,33
53,132,33
53,129,33
52,128,31
51,131,31
55,129,36
56,131,30
56,134,30
55,128,30
57,132,29
62,132,32
56,131,29
56,130,29
56,131,29
55,129,28
60,131,28
55,131,28
59,129,28
64,130,28
73,135,29
77,135,29
75,134,28
73,132,28
74,128,30
74,126,29
90,128,29
85,126,29
84,128,31
85,133,29
88,131,29
93,136,32
86,132,28
83,129,28
81,128,28
79,125,28
81,121,28
77,127,27
76,126,25
74,125,27
72,127,25
72,132,27
67,131,27
70,131,27
68,128,26
66,128,26
69,126,29
67,124,27
66,123,27
65,127,26
66,131,26
71,131,31
66,137,26
71,133,27
71,129,27
72,135,26
74,142,30
69,141,31
68,143,31
68,138,31
66,136,30
66,137,30
65,135,29
62,130,29
62,137,28
62,134,28
64,137,28
61,134,27
60,138,27
59,135,28
59,133,27
61,137,26
65,132,26
63,131,26
61,128,26
61,134,26
63,135,26
62,136,25
60,132,26
59,133,27
59,130,26
64,128,26
58,126,24
57,121,25
57,122,24
56,123,24
56,125,25
56,126,25
55,127,25
53,120,25
54,118,24
53,116,25
52,116,24
52,118,24
52,120,23
50,122,23
52,130,24
51,129,25
51,132,24
54,132,25
53,130,24
54,128,25
53,129,26
54,130,26
53,129,25
52,128,24
52,128,24
57,130,25
53,126,25
53,125,24
53,122,24
52,121,27
52,119,26
47,117,25
51,122,22
51,126,26
51,127,26
49,123,25
49,120,25
49,118,26
49,118,26
52,115,28
58,119,27
59,120,26
59,124,27
59,126,28
58,126,28
58,122,27
56,125,28
56,128,29
56,128,28
56,125,29
54,127,29
54,124,29
54,123,31
57,121,30
54,116,32
53,120,31
52,118,32
56,115,34
51,110,34
53,110,35
51,110,37
51,112,37
50,116,37
52,123,37
51,124,36
51,120,38
53,125,39
51,121,37
53,121,38
51,114,39
51,116,40
52,118,40
51,121,37
51,121,38
51,113,39
54,115,41
51,118,39
51,116,38
51,121,39
51,123,39
52,120,40
53,119,39
53,119,37
54,119,38
53,130,38
51,129,38
52,127,38
51,127,37
54,132,40
55,123,39
54,120,40
55,121,40
55,118,40
62,122,41
57,119,42
58,119,40
57,115,40
54,115,40
55,114,41
57,115,42
56,117,40
55,113,40
55,112,41
56,114,44
55,116,42
54,116,38
53,123,42
53,122,43
58,123,45
55,121,41
53,120,41
52,126,46
51,122,42
58,127,42
53,123,41
53,122,40
53,124,44
51,121,40
52,122,41
51,120,41
51,121,39
50,118,40
50,119,38
53,121,39
50,119,37
48,118,38
51,118,37
54,118,36
62,125,39
59,124,38
64,117,38
62,116,37
61,114,36
71,114,35
64,114,39
65,113,38
66,119,39
70,114,40
67,121,40
69,120,40
69,128,39
68,134,38
66,138,37
73,141,36
70,142,35
72,137,36
74,136,35
72,136,34
72,144,35
73,145,34
75,144,33
72,140,33
73,167,33
73,183,34
79,179,35
87,188,33
89,211,34
89,230,35
101,235,37
110,249,36
108,253,37
110,252,34
109,254,38
110,254,38
129,256,41
128,258,43
129,257,44
131,254,46
137,253,48
137,267,49
141,263,48
141,256,47
141,254,47
149,244,45
144,236,44
156,225,49
161,218,53
165,228,57
153,226,62
149,226,62
146,234,61
144,244,58
145,249,57
147,241,58
146,233,57
148,234,55
159,231,53
160,230,54
150,223,51
154,217,50
157,223,49
154,223,46
152,221,47
152,214,45
149,214,44
155,212,46
156,233,49
155,244,49
165,248,49
178,250,47
204,247,53
210,262,60
217,251,61
219,260,60
218,253,59
215,248,58
210,253,68
204,254,63
200,258,66
199,265,64
192,268,57
193,281,63
190,281,59
189,269,58
183,263,57
180,251,61
174,245,70
167,237,69
178,230,69
181,223,67
182,217,72
183,216,75
178,218,75
174,235,74
167,248,71
172,244,76
177,241,76
173,235,74
168,228,77
172,227,74
167,230,73
164,226,72
158,222,73
154,216,67
154,231,65
158,232,72
153,238,74
152,237,74
150,231,72
154,233,71
158,227,70
155,228,67
151,219,66
150,220,65
150,213,64
149,215,61
145,216,60
142,208,64
138,203,72
135,207,71
133,213,71
135,206,70
136,205,66
134,208,64
137,205,63
133,198,62
132,199,59
126,199,56
123,196,56
118,194,54
117,198,53
128,199,53
124,192,51
129,190,50
131,185,51
137,184,66
140,174,49
138,171,48
134,168,47
132,172,47
130,174,46
127,168,45
126,172,43
123,170,43
137,171,46
121,166,48
123,175,46
119,176,44
119,186,45
116,190,45
114,182,40
110,178,42
109,170,46
105,167,47
106,165,47
104,168,47
99,169,49
98,165,48
98,166,50
98,168,38
95,157,50
96,158,52
112,155,53
115,165,50
115,163,51
114,159,48
113,154,51
112,152,50
113,151,49
107,152,51
102,149,51
101,148,50
99,153,50
96,152,50
94,147,55
91,145,59
88,145,60
87,143,58
85,142,57
87,138,55
83,133,55
83,130,55
81,127,55
81,126,55
78,118,57
78,124,60
76,120,58
75,128,52
78,140,59
73,145,56
72,142,58
70,134,58
67,132,55
79,141,58
68,139,60
67,137,64
67,137,65
70,140,65
69,139,66
67,140,63
66,138,62
65,136,60
63,138,60
63,136,64
62,142,60
61,156,58
62,149,58
61,148,59
63,150,58
68,146,58
66,144,57
66,143,55
65,144,56
65,139,57
64,144,55
63,147,52
61,141,53
62,141,53
61,136,55
63,139,55
61,137,53
62,139,53
63,135,55
65,133,55
66,131,53
64,126,55
65,125,56
64,125,58
68,127,64
64,125,57
64,121,55
64,119,54
62,119,53
77,116,52
67,113,52
64,113,52
64,111,54
64,116,55
64,115,55
62,111,54
62,115,52
62,112,53
65,115,52
64,125,53
64,128,53
63,131,52
61,134,50
61,142,49
61,141,48
63,145,48
73,137,48
72,142,48
77,151,48
77,150,50
76,145,55
76,143,56
79,142,55
77,138,54
77,140,53
76,146,55
74,147,52
72,151,52
70,151,51
70,155,50
72,149,49
67,151,49
72,147,46
71,146,45
71,144,47
70,144,47
71,146,48
70,153,46
65,149,44
74,149,46
83,147,44
82,143,43
80,146,41
82,144,41
78,143,41
76,142,40
75,139,43
73,144,41
71,137,41
74,136,41
71,130,41
73,131,41
72,131,40
71,133,39
72,138,39
74,128,39
68,141,39
68,144,38
74,151,37
73,156,37
74,152,37
70,162,38
72,169,33
73,169,36
72,172,36
73,173,36
72,169,37
70,167,40
70,169,44
70,171,45
72,175,45
70,170,43
68,165,43
75,161,46
73,160,40
72,160,41
75,159,42
76,160,42
80,159,41
80,158,38
74,158,37
77,159,38
79,153,36
83,151,36
79,149,36
79,152,39
77,150,43
75,143,46
74,140,46
73,138,44
71,133,44
70,130,42
68,132,41
68,128,41
67,131,41
66,134,39
65,133,38
64,136,37
64,138,40
64,134,38
63,137,37
64,132,36
61,133,37
64,128,37
64,132,36
64,132,35
62,133,34
61,130,34
61,128,35
60,125,33
59,130,31
59,129,33
57,126,32
59,122,33
56,120,32
56,119,32
56,117,31
54,117,31
59,122,37
54,118,34
53,117,30
52,110,33
53,109,36
54,109,38
52,109,40
51,108,39
50,101,39
50,102,37
54,101,38
57,106,37
52,112,36
57,110,35
57,119,34
63,121,34
58,120,34
57,120,33
59,117,33
61,119,33
62,128,36
63,128,36
66,135,35
69,133,35
67,138,37
68,142,37
67,141,37
68,141,34
68,138,34
65,138,34
69,138,35
66,137,35
65,133,34
64,134,34
65,130,33
65,128,35
62,125,34
61,122,33
60,120,33
59,119,33
64,120,36
58,119,37
57,116,38
57,121,37
56,122,35
58,120,35
57,117,35
56,119,39
57,128,32
56,127,32
57,125,33
57,120,32
55,120,31
58,132,31
57,133,31
58,133,31
57,129,31
57,133,32
55,133,31
56,133,29
55,132,29
54,128,29
53,125,31
53,125,29
52,124,28
53,128,27
52,129,30
50,126,32
52,123,32
57,122,30
60,128,32
59,121,32
60,126,31
59,125,30
58,124,29
58,126,29
57,125,30
56,122,31
56,116,30
55,116,31
61,114,31
67,114,41
73,119,45
75,114,47
75,116,44
76,122,45
78,121,43
76,122,43
74,137,40
72,137,41
71,135,40
70,131,41
68,125,39
66,126,38
66,127,39
65,126,39
64,122,38
63,123,36
62,119,35
61,118,35
60,123,36
60,121,36
59,123,34
57,124,27
57,124,34
56,121,36
58,123,38
57,124,38
55,130,36
60,131,36
64,130,36
65,126,34
67,128,34
67,127,36
65,130,38
59,123,36
64,127,35
63,122,35
65,122,35
65,121,36
62,120,35
61,122,31
60,117,33
59,122,33
64,121,32
58,121,37
56,118,35
56,118,35
56,117,34
54,125,33
59,123,35
57,121,32
57,120,32
56,116,35
56,116,37
56,113,38
54,114,38
54,110,36
53,112,35
53,109,37
58,108,36
64,112,34
62,125,32
70,125,32
74,131,31
67,127,32
67,128,30
66,125,29
65,124,29
60,120,30
62,120,29
61,116,29
60,122,29
61,121,28
61,122,29
57,120,29
58,120,27
57,121,27
56,124,27
58,126,29
55,124,27
54,119,30
54,122,27
54,123,28
60,124,27
53,119,29
51,118,27
52,117,29
52,118,30
49,118,30
51,116,27
51,113,33
51,116,35
50,117,35
50,119,36
51,118,37
50,122,35
49,132,34
51,128,33
50,131,33
47,133,33
50,130,31
53,126,32
54,132,31
56,143,29
55,131,30
54,129,29
54,124,30
53,123,29
54,120,29
53,119,28
52,118,27
52,113,27
51,111,28
