A,B,C
54,126,54
53,129,57
54,126,55
54,127,53
54,125,53
53,125,54
62,124,53
53,122,54
45,121,54
53,121,53
53,122,54
50,125,53
54,129,53
53,126,53
54,123,54
52,123,54
56,120,55
54,120,55
55,129,55
53,129,55
53,131,55
57,130,57
53,129,55
54,123,56
69,120,57
58,119,55
68,121,54
58,120,57
56,119,57
57,120,56
57,118,55
54,120,56
59,119,57
60,117,57
58,118,57
61,118,56
65,118,57
67,121,57
65,126,56
65,127,55
65,127,53
66,130,53
63,132,54
62,132,54
62,132,53
61,129,52
62,138,54
58,133,56
56,132,54
60,130,52
60,129,52
62,126,56
60,125,54
58,125,53
57,123,53
57,128,54
62,128,56
58,127,55
57,126,55
56,126,54
56,125,54
63,124,59
57,123,56
56,127,55
55,126,56
55,122,56
66,122,55
55,126,51
55,121,55
55,123,55
54,120,56
56,121,56
55,120,55
54,117,56
54,118,57
55,116,58
54,118,57
54,117,57
54,116,58
53,116,59
54,116,57
54,117,58
53,112,57
53,112,58
53,115,57
54,116,57
54,114,57
52,110,57
53,107,58
53,110,57
54,108,55
55,112,56
53,109,57
51,108,56
53,110,55
48,108,52
54,110,55
53,108,56
53,110,55
54,112,55
53,113,53
55,112,54
54,112,56
53,110,56
53,112,56
53,110,55
55,108,56
54,110,57
55,112,56
54,117,55
53,118,54
55,117,56
54,116,56
54,117,55
54,118,54
54,116,55
55,116,56
55,114,55
55,119,54
55,121,54
53,117,56
55,117,56
55,120,56
54,120,55
54,124,55
55,119,57
55,117,60
55,114,57
55,116,55
54,119,55
54,121,57
55,116,58
54,117,59
54,114,58
53,114,60
55,115,61
55,110,59
53,109,60
52,109,60
52,109,60
57,114,61
53,116,61
53,114,62
53,114,63
54,112,63
59,115,65
54,113,63
54,111,64
55,112,64
54,112,65
67,113,63
55,114,66
55,114,64
55,109,64
54,110,60
55,115,64
54,116,64
54,115,64
53,114,64
54,114,63
54,117,62
56,118,64
55,123,63
55,117,63
55,119,62
61,120,66
54,117,65
53,115,64
53,114,57
53,115,60
65,116,62
54,114,63
53,113,61
52,111,62
55,112,61
58,111,60
57,110,61
57,110,60
56,110,60
55,113,58
59,114,60
57,114,59
56,115,58
54,111,58
53,108,58
62,110,61
57,112,56
54,108,58
54,109,56
55,110,57
69,109,58
57,107,57
56,105,57
55,105,56
54,103,57
56,106,58
56,103,57
56,105,56
55,103,56
56,100,57
58,104,56
56,99,61
56,101,56
55,102,56
55,105,56
57,107,57
56,105,56
54,105,57
57,103,57
59,108,56
59,113,55
58,113,56
57,111,57
57,106,57
57,102,56
59,109,56
58,108,57
56,110,57
56,106,55
56,108,55
58,111,56
55,110,56
56,106,56
54,105,53
55,105,53
58,105,55
55,103,53
55,103,52
56,108,51
56,107,51
59,113,52
56,109,52
56,105,51
57,103,50
57,104,50
60,107,50
58,110,51
57,113,48
56,106,48
57,108,46
58,109,49
57,108,48
57,109,47
56,106,47
57,104,47
61,106,48
59,106,47
58,106,45
59,101,44
58,100,46
60,106,47
60,112,45
58,112,47
59,106,45
58,105,44
59,106,47
58,108,45
58,105,45
61,103,46
59,108,46
59,110,47
58,109,45
58,105,46
57,103,46
58,103,46
58,104,46
57,105,45
58,102,46
58,100,46
58,101,45
58,108,45
56,105,45
57,103,45
57,104,44
57,103,44
57,107,45
60,106,45
57,104,44
58,101,43
56,99,42
57,98,43
57,101,42
57,104,43
57,102,42
56,104,40
56,104,41
55,108,42
56,110,42
54,107,40
55,107,39
56,108,40
55,110,41
55,106,40
56,108,38
55,109,38
56,107,40
54,106,38
55,104,38
54,108,36
56,105,38
56,104,38
57,102,37
58,101,36
57,111,33
66,112,34
57,104,38
56,105,36
56,105,35
56,105,35
52,104,35
55,106,37
55,105,36
55,109,35
55,105,35
56,106,36
56,106,37
56,106,36
55,107,36
55,104,36
56,105,38
57,102,38
60,101,38
56,104,37
56,106,39
60,111,40
56,105,40
56,105,40
56,106,40
56,106,41
58,104,40
57,109,40
55,107,42
55,106,44
50,108,42
59,107,43
57,112,43
55,113,43
58,110,46
57,111,42
65,113,46
56,110,44
59,108,46
57,104,46
57,109,44
69,114,44
57,108,46
57,105,47
57,107,47
57,118,45
58,117,46
58,113,48
56,107,47
56,109,46
57,115,46
60,115,46
57,114,48
58,113,48
58,114,46
59,113,46
61,115,48
61,113,48
62,112,47
61,113,46
60,112,47
62,117,48
60,111,48
59,114,50
60,118,44
61,117,45
62,112,47
61,111,47
60,112,45
60,113,45
58,112,45
62,108,48
60,110,46
59,112,44
58,115,43
57,114,44
66,111,48
58,113,44
57,111,43
57,118,43
57,117,44
71,117,43
57,113,43
57,112,43
57,113,42
56,103,42
58,111,43
57,107,42
58,106,42
57,110,42
57,108,41
60,106,42
59,108,41
58,106,41
56,107,41
57,108,40
58,105,41
57,108,40
58,107,40
57,105,40
56,107,38
58,108,39
56,109,40
55,104,39
56,107,39
55,111,37
56,112,38
55,107,39
55,104,38
55,104,37
54,103,36
55,108,38
55,106,38
54,107,37
54,112,38
54,109,36
58,108,37
54,114,37
54,118,37
53,117,37
53,119,36
55,118,38
53,114,38
54,110,37
54,110,37
54,108,35
58,109,38
54,105,37
55,107,37
54,110,36
55,110,35
55,109,37
54,106,37
55,108,35
55,108,37
55,107,36
55,106,37
55,109,36
54,109,35
54,106,36
55,109,35
57,103,35
56,110,35
57,112,36
57,110,36
56,113,35
58,111,36
56,111,35
56,112,36
55,111,36
57,112,33
57,111,36
57,109,36
58,106,38
57,109,36
57,111,38
57,111,37
59,108,37
57,107,38
57,111,38
62,114,39
57,109,38
58,106,37
58,106,38
57,106,37
68,109,36
59,114,38
59,111,38
59,110,38
59,110,37
58,116,37
60,116,37
60,115,38
61,118,34
59,113,35
59,114,36
60,113,37
62,108,38
63,109,37
62,110,36
62,113,37
63,109,39
64,109,38
63,108,38
61,110,37
62,112,38
61,111,40
61,108,39
61,108,37
60,111,37
62,109,40
60,107,40
59,105,38
59,108,38
59,108,38
63,108,39
57,108,40
57,107,38
59,108,38
60,107,38
71,107,44
62,104,38
54,104,38
61,102,39
62,103,39
74,106,39
61,106,40
61,106,39
60,108,39
61,104,51
63,110,39
61,107,39
61,103,39
62,102,39
62,108,35
58,110,38
63,109,38
62,108,37
61,105,38
60,106,38
60,108,38
59,103,37
60,100,37
57,99,37
58,96,36
78,93,37
58,94,36
58,94,38
59,97,37
57,97,36
63,100,38
58,100,38
60,100,39
61,98,38
59,98,37
65,100,41
60,102,39
58,101,38
58,99,37
58,95,36
70,103,35
59,96,39
57,98,38
57,97,38
57,97,36
67,96,37
58,97,39
58,98,38
59,98,37
57,95,37
63,93,39
61,94,38
58,95,37
59,101,36
58,102,34
58,101,36
59,102,36
59,98,36
62,96,35
59,95,36
60,98,35
60,102,36
60,104,36
59,104,36
60,101,35
59,101,36
59,102,37
59,100,37
59,103,35
59,103,36
58,104,35
59,105,36
59,104,36
58,101,35
58,101,34
56,103,34
60,107,34
59,102,33
58,101,34
60,102,34
60,101,34
58,101,34
58,98,35
58,98,35
58,100,35
62,99,34
58,100,35
58,98,35
57,100,36
57,104,34
64,109,39
57,108,36
57,104,41
60,106,36
62,100,35
72,103,34
66,100,36
61,102,35
60,102,35
60,99,35
67,99,39
61,101,35
60,102,33
59,102,33
59,103,33
60,100,34
58,100,35
58,103,34
58,101,33
58,102,32
64,99,36
57,101,34
57,100,34
55,97,34
56,97,32
60,95,33
57,96,34
56,96,33
57,97,33
56,87,32
56,97,33
57,98,34
56,100,32
55,104,32
55,102,32
55,105,31
56,108,33
56,108,32
56,110,31
55,107,32
54,112,32
57,117,32
56,116,29
56,116,30
55,109,31
56,102,32
58,112,32
58,111,30
58,110,32
57,107,32
67,110,30
58,107,37
58,110,31
56,108,31
56,104,31
54,100,30
59,101,32
58,106,31
58,104,32
57,102,32
58,102,30
59,102,32
58,102,32
59,98,32
57,98,32
62,100,32
58,100,32
59,97,32
57,97,32
57,97,31
56,96,30
58,98,32
58,98,31
58,98,31
57,100,30
58,96,38
60,97,32
61,97,31
59,95,30
59,94,30
60,95,28
61,91,30
60,100,30
60,94,31
60,91,29
59,91,28
61,92,30
60,95,29
66,92,29
60,91,29
59,94,28
62,92,29
61,94,30
60,94,28
59,93,29
59,91,28
60,95,29
58,92,29
63,88,28
64,93,29
63,91,27
65,91,29
65,91,29
62,89,28
62,88,28
62,89,27
59,87,28
62,89,29
60,90,28
61,94,28
60,90,29
68,94,31
61,93,27
61,92,28
60,97,28
60,96,28
64,100,29
61,99,29
61,99,28
61,98,28
60,94,28
63,95,29
60,93,29
60,90,29
62,92,29
59,90,29
58,91,27
61,92,30
58,90,29
57,89,29
58,91,28
54,89,27
58,88,30
58,87,30
57,90,30
57,93,29
56,97,29
57,95,29
59,90,30
58,88,30
58,86,29
58,88,28
58,91,31
57,90,30
57,92,33
56,92,28
57,91,29
61,90,30
58,90,29
59,90,29
59,93,28
59,89,27
61,92,29
59,89,28
59,87,28
58,90,25
57,89,19
56,89,28
59,87,29
56,88,25
57,87,27
58,89,26
67,92,27
58,91,27
57,89,27
57,88,23
59,84,26
63,83,28
59,85,26
60,84,27
59,82,25
59,81,28
67,83,24
61,84,26
60,82,26
59,87,25
60,88,25
59,85,25
60,87,26
61,85,26
61,85,25
60,85,26
59,89,26
60,89,25
60,87,26
61,90,25
63,89,26
61,91,25
62,89,27
61,90,26
64,91,26
67,94,27
64,107,25
64,112,27
65,112,28
67,106,28
66,108,25
65,106,26
66,106,28
64,106,29
64,105,29
63,104,29
62,102,28
66,103,29
66,98,30
67,96,30
67,94,28
66,94,29
58,98,30
68,98,31
67,101,29
67,104,29
67,101,29
72,98,30
68,98,35
67,98,30
66,105,29
69,108,29
69,113,32
70,120,30
68,120,30
68,125,30
69,127,30
72,127,30
70,126,30
70,121,29
69,121,29
71,117,30
71,117,31
73,118,31
71,119,29
69,115,32
69,115,30
70,114,32
68,116,32
67,116,31
67,111,32
66,110,29
67,112,31
65,110,30
65,108,30
64,103,32
63,103,29
65,102,30
64,104,29
63,100,31
62,102,30
66,99,30
72,103,30
74,107,30
76,103,31
75,103,30
73,100,30
73,102,31
73,104,32
72,111,32
68,110,31
70,105,31
71,106,31
74,111,31
74,113,30
73,108,30
70,108,29
69,108,31
70,107,30
69,115,27
69,117,29
70,115,29
71,124,30
69,142,30
70,154,29
73,161,32
70,160,30
73,161,32
71,165,32
71,176,31
71,177,30
75,170,29
75,165,36
74,161,30
72,158,31
71,155,30
71,170,30
75,168,31
84,178,30
86,190,29
84,184,29
86,187,31
85,185,32
84,183,31
83,180,30
83,176,30
83,191,29
89,198,31
85,202,30
84,195,30
82,196,29
85,188,30
81,182,30
82,179,29
82,181,29
77,180,29
81,173,31
78,170,29
76,170,30
76,166,28
77,171,29
86,173,29
80,173,30
77,172,30
81,189,32
80,204,33
80,202,34
81,207,43
80,206,44
79,200,43
82,195,49
84,190,52
81,189,52
80,198,50
79,210,50
76,206,47
77,202,49
77,203,46
77,203,51
76,199,45
75,191,44
81,193,43
74,184,44
72,179,44
72,180,43
72,202,43
70,209,42
72,210,41
77,207,40
79,198,40
78,198,38
81,204,38
77,209,38
83,223,37
82,219,36
85,211,45
95,234,47
97,248,47
95,260,48
93,277,49
93,280,50
100,280,57
93,284,58
91,287,56
88,284,56
89,280,54
89,281,54
87,272,52
84,260,51
86,262,49
86,272,48
86,277,48
85,269,43
87,270,45
88,261,46
87,255,44
93,246,43
92,245,41
97,249,40
95,239,42
92,235,40
96,245,41
94,271,39
97,276,38
96,275,37
93,271,37
96,269,41
90,261,36
88,256,37
89,255,36
90,243,36
100,246,35
95,242,36
95,253,35
93,251,37
94,262,36
95,297,37
95,292,44
97,284,46
96,287,46
96,282,47
99,274,47
99,266,46
102,265,46
96,258,45
94,256,43
93,251,45
94,240,43
92,237,43
87,233,41
91,226,42
98,220,42
101,225,42
100,224,41
95,215,40
95,219,39
100,221,40
100,232,40
103,257,39
108,254,38
105,247,36
107,241,37
106,241,38
106,240,37
104,239,39
106,246,39
104,264,41
106,274,42
104,294,42
105,285,41
107,280,42
103,274,42
100,266,42
103,257,39
103,254,40
105,249,42
104,242,48
105,254,41
109,257,41
108,264,40
110,269,42
114,261,40
113,266,38
109,290,38
109,294,38
109,286,40
110,277,39
109,263,39
107,260,39
105,253,39
105,250,39
106,241,39
106,237,38
108,228,39
111,222,39
108,220,40
111,212,38
109,211,36
109,203,36
119,210,37
112,221,35
113,229,34
113,230,34
116,227,34
115,231,34
113,221,33
112,210,32
113,222,30
111,228,31
125,227,34
117,231,32
116,231,32
114,223,32
115,212,33
117,208,32
117,200,32
118,196,30
117,189,31
119,184,28
122,178,30
120,174,28
117,175,30
123,180,28
140,176,33
135,172,29
130,175,31
129,174,28
128,174,27
130,179,29
127,174,28
127,168,28
127,164,33
128,158,28
136,155,29
128,152,28
127,149,25
128,141,28
128,138,27
127,137,28
126,132,28
126,128,28
127,122,28
127,121,27
127,119,28
126,113,28
128,110,29
127,109,29
125,104,28
123,104,29
124,100,29
124,111,28
124,111,28
123,111,32
123,108,29
122,113,29
122,110,29
121,112,28
123,113,30
128,117,30
125,122,30
121,128,28
122,135,29
125,138,29
120,135,29
113,133,30
118,127,29
124,123,28
124,123,29
123,123,30
127,123,29
125,121,31
121,122,29
119,117,31
114,115,30
111,111,30
109,110,28
108,111,29
108,109,30
109,106,30
106,104,29
104,100,28
103,98,29
102,103,29
100,98,29
96,99,28
96,94,29
95,94,29
95,97,30
94,97,29
91,92,29
92,94,29
93,95,29
95,97,30
92,96,29
91,94,29
89,102,29
89,102,29
89,99,30
87,100,30
88,100,30
88,99,30
86,101,29
88,112,30
84,117,29
83,117,29
81,115,29
80,112,29
80,115,31
80,116,29
80,119,28
80,117,29
82,114,29
82,112,30
80,112,28
78,113,29
76,106,29
75,102,28
74,100,30
74,102,29
73,100,29
73,96,29
70,93,28
70,94,30
71,93,28
73,92,29
70,92,29
68,87,28
69,90,29
68,87,30
67,85,30
67,82,29
66,84,28
68,82,30
66,82,31
64,77,30
64,75,29
63,76,29
67,83,31
64,78,30
63,80,30
62,84,29
62,86,29
64,88,31
62,83,31
62,84,31
59,81,30
63,81,31
75,86,32
62,81,32
63,93,31
62,95,31
61,101,32
63,103,33
62,106,32
61,105,33
60,103,30
58,103,32
64,100,32
61,102,32
60,101,30
59,101,31
58,97,30
62,96,31
59,96,31
57,96,31
57,93,30
57,92,30
61,89,31
57,89,30
56,87,31
56,86,31
54,85,31
56,80,32
55,81,32
54,78,33
55,82,32
54,80,32
55,86,31
55,84,33
54,87,34
54,88,34
54,91,35
54,94,33
55,98,35
53,100,36
54,90,32
55,97,35
54,96,34
54,102,36
53,111,36
53,115,36
53,112,35
53,114,41
55,115,37
53,114,37
53,110,37
54,106,36
54,102,36
53,102,38
54,101,38
55,97,37
54,97,36
53,95,36
54,95,40
54,94,41
53,91,38
53,88,37
52,84,38
53,88,40
53,84,41
53,84,39
51,83,38
52,84,40
53,84,41
52,82,41
51,82,40
51,85,39
51,85,41
48,85,43
53,88,42
51,89,44
52,91,42
52,89,41
59,94,50
52,94,45
52,91,42
50,90,43
50,91,43
54,95,43
52,96,43
52,101,43
52,114,44
53,116,42
56,128,46
52,139,45
52,139,45
52,138,45
52,133,44
59,135,48
53,127,45
50,125,42
52,124,45
52,123,41
59,122,44
52,120,50
51,117,46
54,117,45
52,115,44
50,113,45
51,110,46
51,109,47
50,106,45
52,101,45
56,105,47
51,104,47
52,103,47
52,99,46
52,99,45
52,102,46
51,103,48
53,107,47
52,108,45
50,110,46
52,110,47
52,106,47
52,107,47
52,107,46
51,111,47
53,112,50
52,110,49
51,107,48
